source,name,city,category,phone,email,website,rating,email_sent,collected_at
Web (Yahoo),Aluguel de Som e Luz em Nova Iguaçu - Festas e Eventos ...,Nova Iguaçu,Eletrônicos,,,https://www.organizandoeventos.com.br/RJ/Nova-Iguacu/aluguel-de-som-e-luz.htm,,False,2026-04-23T18:27:14.082117
Web (Yahoo),"Imóveis para alugar em Nova Iguaçu, RJ - QuintoAndar",Nova Iguaçu,Eletrônicos,,,https://www.quintoandar.com.br/alugar/imovel/nova-iguacu-rj-brasil,,False,2026-04-23T18:27:14.137843
Web (Yahoo),"Apartamentos para alugar em Nova Iguaçu, RJ - Viva Real",Nova Iguaçu,Eletrônicos,,,https://www.vivareal.com.br/aluguel/rj/nova-iguacu/apartamento_residencial/,,False,2026-04-23T18:27:14.190410
Web (Yahoo),TERMO DE REFERÊNCIA ÓRGÃO INTERESSADO OBJ,Nova Iguaçu,Eletrônicos,,,https://planalto.pr.gov.br/upload/licitacoes/15042.pdf,,False,2026-04-23T18:27:21.896777
Web (Yahoo),Home - Aluga,São Gonçalo,Eletrônicos,,,https://aluga.com/,,False,2026-04-23T18:27:56.156195
Web (Yahoo),Game Festas - Aluguel de videogames - Niterói / Rio / São Gonçalo,São Gonçalo,Eletrônicos,,,https://gamehousenit.wixsite.com/gamefestas,,False,2026-04-23T18:27:56.201161
Web (Yahoo),Game Festas - Aluguel de Videogames para festas e eventos ...,São Gonçalo,Eletrônicos,,,https://www.gamefestas.com.br/,,False,2026-04-23T18:27:56.389443
Web (Yahoo),Aluguel de Videogames e simulador de corrida para Festas e ...,São Gonçalo,Eletrônicos,,,https://www.playentretenimento.com.br/,,False,2026-04-23T18:27:56.499649
Web (Yahoo),Petrópolis - RJ | Casa do Construtor - Aluguel de equipamentos,Petrópolis,Ferramentas,,,https://casadoconstrutor.com.br/pt-br/loja/petropolis-rj,,False,2026-04-23T19:57:48.794918
Web (Yahoo),10 opções em aluguel de equipamentos que você deveria ...,Petrópolis,Ferramentas,,,https://www.solutudo.com.br/empresas/rj/petropolis/aluguel+de+equipamentos/listas/10-opcoes-em-aluguel+de+equipamentos-que-voce-deveria-conhecer-em-petropolis-rj,,False,2026-04-23T19:57:48.928214
Web (Yahoo),Ferramentas Elétricas - metraco.com.br,Petrópolis,Ferramentas,,,http://metraco.com.br/locacao-de-equipamentos/ferramentas-eletricas/,,False,2026-04-23T19:57:49.115290
Web (Yahoo),Aluguel de Máquinas e Equipamentos em Petrópolis - RJ ...,Petrópolis,Ferramentas,,,https://www.encontrapetropolis.com.br/a/aluguel-de-maquinas-e-equipamentos-em-petropolis.shtml,,False,2026-04-23T19:57:49.216654
Web (Yahoo),Home - EuroquipEuroquip Locação de Máquinas - Aluguel de ...,Petrópolis,Ferramentas,,,https://euroquip.com.br/,,False,2026-04-23T19:57:49.296477
Web (Yahoo),Aluguel de equipamentos em Petrópolis – RJ - Rental Ventures,Petrópolis,Ferramentas,,,https://rentalventures.com.br/cidades/aluguel-de-equipamentos-em-petropolis-rj,,False,2026-04-23T19:57:49.556084
